nom_mun,nom_dpto
ACAJUTLA,SONSONATE
AGUA CALIENTE,CHALATENANGO
AGUILARES,SAN SALVADOR
AHUACHAPAN,AHUACHAPAN
ALEGRIA,USULUTAN
ANAMOROS,LA UNION
ANTIGUO CUSCATLAN,LA LIBERTAD
APANECA,AHUACHAPAN
APASTEPEQUE,SAN VICENTE
APOPA,SAN SALVADOR
ARAMBALA,MORAZAN
ARCATAO,CHALATENANGO
ARMENIA,SONSONATE
ATIQUIZAYA,AHUACHAPAN
AYUTUXTEPEQUE,SAN SALVADOR
AZACUALPA,CHALATENANGO
BERLIN,USULUTAN
BOLIVAR,LA UNION
CACAOPERA,MORAZAN
CALIFORNIA,USULUTAN
CALUCO,SONSONATE
CANCASQUE,CHALATENANGO
CANDELARIA,CUSCATLAN
CANDELARIA DE LA FRONTERA,SANTA ANA
CAROLINA,SAN MIGUEL
CHALATENANGO,CHALATENANGO
CHALCHUAPA,SANTA ANA
CHAPELTIQUE,SAN MIGUEL
CHILANGA,MORAZAN
CHILTIUPAN,LA LIBERTAD
CHINAMECA,SAN MIGUEL
CHIRILAGUA,SAN MIGUEL
CINQUERA,CABANAS
CITALA,CHALATENANGO
CIUDAD ARCE,LA LIBERTAD
CIUDAD BARRIOS,SAN MIGUEL
COATEPEQUE,SANTA ANA
COJUTEPEQUE,CUSCATLAN
COLON,LA LIBERTAD
COMACARAN,SAN MIGUEL
COMALAPA,CHALATENANGO
COMASAGUA,LA LIBERTAD
CONCEPCION BATRES,USULUTAN
CONCEPCION DE ATACO,AHUACHAPAN
CONCEPCION DE ORIENTE,LA UNION
CONCEPCION QUEZALTEPEQUE,CHALATENANGO
CONCHAGUA,LA UNION
CORINTO,MORAZAN
CUISNAHUAT,SONSONATE
CUSCATANCINGO,SAN SALVADOR
CUYULTITAN,LA PAZ
DELGADO,SAN SALVADOR
DELICIAS DE CONCEPCION,MORAZAN
DOLORES,CABANAS
DULCE NOMBRE DE MARIA,CHALATENANGO
EL CARMEN,LA UNION
EL CARMEN,CUSCATLAN
EL CARRIZAL,CHALATENANGO
EL CONGO,SANTA ANA
EL DIVISADERO,MORAZAN
EL PAISNAL,SAN SALVADOR
EL PARAISO,CHALATENANGO
EL PORVENIR,SANTA ANA
EL REFUGIO,AHUACHAPAN
EL ROSARIO,MORAZAN
EL ROSARIO,LA PAZ
EL ROSARIO,CUSCATLAN
EL SAUCE,LA UNION
EL TRANSITO,SAN MIGUEL
EL TRIUNFO,USULUTAN
EREGUAYQUIN,USULUTAN
ESTANZUELAS,USULUTAN
GUACOTECTI,CABANAS
GUADALUPE,SAN VICENTE
GUALOCOCTI,MORAZAN
GUATAJIAGUA,MORAZAN
GUAYMANGO,AHUACHAPAN
GUAZAPA,SAN SALVADOR
HUIZUCAR,LA LIBERTAD
ILOBASCO,CABANAS
ILOPANGO,SAN SALVADOR
INTIPUCA,LA UNION
IZALCO,SONSONATE
JAYAQUE,LA LIBERTAD
JERUSALEN,LA PAZ
JICALAPA,LA LIBERTAD
JIQUILISCO,USULUTAN
JOATECA,MORAZAN
JOCOAITIQUE,MORAZAN
JOCORO,MORAZAN
JUAYUA,SONSONATE
JUCUAPA,USULUTAN
JUCUARAN,USULUTAN
JUJUTLA,AHUACHAPAN
JUTIAPA,CABANAS
LA LAGUNA,CHALATENANGO
LA LIBERTAD,LA LIBERTAD
LA PALMA,CHALATENANGO
LA REINA,CHALATENANGO
LA UNION,LA UNION
LAS FLORES,CHALATENANGO
LAS VUELTAS,CHALATENANGO
LISLIQUE,LA UNION
LOLOTIQUE,SAN MIGUEL
LOLOTIQUILLO,MORAZAN
MASAHUAT,SANTA ANA
MEANGUERA,MORAZAN
MEANGUERA DEL GOLFO,LA UNION
MEJICANOS,SAN SALVADOR
MERCEDES LA CEIBA,LA PAZ
MERCEDES UMANA,USULUTAN
METAPAN,SANTA ANA
MONCAGUA,SAN MIGUEL
MONTE SAN JUAN,CUSCATLAN
NAHUIZALCO,SONSONATE
NAHULINGO,SONSONATE
NEJAPA,SAN SALVADOR
NOMBRE DE JESUS,CHALATENANGO
NUEVA CONCEPCION,CHALATENANGO
NUEVA ESPARTA,LA UNION
NUEVA GRANADA,USULUTAN
NUEVA GUADALUPE,SAN MIGUEL
NUEVA TRINIDAD,CHALATENANGO
NUEVO CUSCATLAN,LA LIBERTAD
NUEVO EDEN DE SAN JUAN,SAN MIGUEL
OJOS DE AGUA,CHALATENANGO
OLOCUILTA,LA PAZ
ORATORIO DE CONCEPCION,CUSCATLAN
OSICALA,MORAZAN
OZATLAN,USULUTAN
PANCHIMALCO,SAN SALVADOR
PARAISO DE OSORIO,LA PAZ
PASAQUINA,LA UNION
PERQUIN,MORAZAN
POLOROS,LA UNION
POTONICO,CHALATENANGO
PUERTO EL TRIUNFO,USULUTAN
QUELEPA,SAN MIGUEL
QUEZALTEPEQUE,LA LIBERTAD
ROSARIO DE MORA,SAN SALVADOR
SACACOYO,LA LIBERTAD
SALCOATITAN,SONSONATE
SAN AGUSTIN,USULUTAN
SAN ALEJO,LA UNION
SAN ANTONIO,SAN MIGUEL
SAN ANTONIO DE LA CRUZ,CHALATENANGO
SAN ANTONIO DEL MONTE,SONSONATE
SAN ANTONIO LOS RANCHOS,CHALATENANGO
SAN ANTONIO MASAHUAT,LA PAZ
SAN ANTONIO PAJONAL,SANTA ANA
SAN BARTOLOME PERULAPIA,CUSCATLAN
SAN BUENA VENTURA,USULUTAN
SAN CARLOS,MORAZAN
SAN CAYETANO ISTEPEQUE,SAN VICENTE
SAN CRISTOBAL,CUSCATLAN
SAN DIONISIO,USULUTAN
SAN EMIGDIO,LA PAZ
SAN ESTEBAN CATARINA,SAN VICENTE
SAN FERNANDO,CHALATENANGO
SAN FERNANDO,MORAZAN
SAN FRANCISCO CHINAMECA,LA PAZ
SAN FRANCISCO GOTERA,MORAZAN
SAN FRANCISCO JAVIER,USULUTAN
SAN FRANCISCO LEMPA,CHALATENANGO
SAN FRANCISCO MENENDEZ,AHUACHAPAN
SAN FRANCISCO MORAZAN,CHALATENANGO
SAN GERARDO,SAN MIGUEL
SAN IGNACIO,CHALATENANGO
SAN ILDEFONSO,SAN VICENTE
SAN ISIDRO,MORAZAN
SAN ISIDRO,CABANAS
SAN ISIDRO LABRADOR,CHALATENANGO
SAN JORGE,SAN MIGUEL
SAN JOSE,LA UNION
SAN JOSE GUAYABAL,CUSCATLAN
SAN JOSE VILLANUEVA,LA LIBERTAD
SAN JUAN NONUALCO,LA PAZ
SAN JUAN OPICO,LA LIBERTAD
SAN JUAN TALPA,LA PAZ
SAN JUAN TEPEZONTES,LA PAZ
SAN JULIAN,SONSONATE
SAN LORENZO,SAN VICENTE
SAN LORENZO,AHUACHAPAN
SAN LUIS DE LA REINA,SAN MIGUEL
SAN LUIS DEL CARMEN,CHALATENANGO
SAN LUIS LA HERRADURA,LA PAZ
SAN LUIS TALPA,LA PAZ
SAN MARCOS,SAN SALVADOR
SAN MARTIN,SAN SALVADOR
SAN MATIAS,LA LIBERTAD
SAN MIGUEL,SAN MIGUEL
SAN MIGUEL DE MERCEDES,CHALATENANGO
SAN MIGUEL TEPEZONTES,LA PAZ
SAN PABLO TACACHICO,LA LIBERTAD
SAN PEDRO MASAHUAT,LA PAZ
SAN PEDRO NONUALCO,LA PAZ
SAN PEDRO PERULAPAN,CUSCATLAN
SAN PEDRO PUXTLA,AHUACHAPAN
SAN RAFAEL,CHALATENANGO
SAN RAFAEL CEDROS,CUSCATLAN
SAN RAFAEL OBRAJUELO,LA PAZ
SAN RAFAEL ORIENTE,SAN MIGUEL
SAN RAMON,CUSCATLAN
SAN SALVADOR,SAN SALVADOR
SAN SEBASTIAN,SAN VICENTE
SAN SEBASTIAN SALITRILLO,SANTA ANA
SAN SIMON,MORAZAN
SAN VICENTE,SAN VICENTE
SANTA ANA,SANTA ANA
SANTA CATARINA MASAHUAT,SONSONATE
SANTA CLARA,SAN VICENTE
SANTA CRUZ ANALQUITO,CUSCATLAN
SANTA CRUZ MICHAPA,CUSCATLAN
SANTA ELENA,USULUTAN
SANTA ISABEL ISHUATAN,SONSONATE
SANTA MARIA,USULUTAN
SANTA MARIA OSTUMA,LA PAZ
SANTA RITA,CHALATENANGO
SANTA ROSA DE LIMA,LA UNION
SANTA ROSA GUACHIPILIN,SANTA ANA
SANTA TECLA,LA LIBERTAD
SANTIAGO DE LA FRONTERA,SANTA ANA
SANTIAGO DE MARIA,USULUTAN
SANTIAGO NONUALCO,LA PAZ
SANTIAGO TEXACUANGOS,SAN SALVADOR
SANTO DOMINGO,SAN VICENTE
SANTO DOMINGO DE GUZMAN,SONSONATE
SANTO TOMAS,SAN SALVADOR
SENSEMBRA,MORAZAN
SENSUNTEPEQUE,CABANAS
SESORI,SAN MIGUEL
SOCIEDAD,MORAZAN
SONSONATE,SONSONATE
SONZACATE,SONSONATE
SOYAPANGO,SAN SALVADOR
SUCHITOTO,CUSCATLAN
TACUBA,AHUACHAPAN
TALNIQUE,LA LIBERTAD
TAMANIQUE,LA LIBERTAD
TAPALHUACA,LA PAZ
TECAPAN,USULUTAN
TECOLUCA,SAN VICENTE
TEJUTEPEQUE,CABANAS
TEJUTLA,CHALATENANGO
TENANCINGO,CUSCATLAN
TEOTEPEQUE,LA LIBERTAD
TEPECOYO,LA LIBERTAD
TEPETITAN,SAN VICENTE
TEXISTEPEQUE,SANTA ANA
TONACATEPEQUE,SAN SALVADOR
TOROLA,MORAZAN
TURIN,AHUACHAPAN
ULUAZAPA,SAN MIGUEL
USULUTAN,USULUTAN
VERAPAZ,SAN VICENTE
VICTORIA,CABANAS
YAMABAL,MORAZAN
YAYANTIQUE,LA UNION
YOLOAIQUIN,MORAZAN
YUCUAIQUIN,LA UNION
ZACATECOLUCA,LA PAZ
ZARAGOZA,LA LIBERTAD
